"EC"	"SMC_Fib"	"Macr"	"T_NK"	"Neut"	"B"
"hsa-miR-28-3p"	3989.81866885238	4045.84012011799	4620.48903158331	9137.14561136064	4284.10419452344	17947.5360567263
"hsa-miR-28-5p"	663.598490292322	317.20746797495	992.964942298965	1357.19380932553	237.018568670851	1211.87265285388
"hsa-miR-296-3p"	2.9777471949495	24.4299384952126	0	1.79222122977477	0.172306243692413	0.353216402991818
"hsa-miR-296-5p"	2.21089032324922	26.003774734776	0	14.8270506899672	0.782271519389852	4.14629094442669
"hsa-miR-299-3p"	19.6777194050789	71.9590460510787	0	0	0.290820157738739	0
"hsa-miR-299-5p"	3.72475747595592	28.1163382609956	0	0	0.586702952097076	0
"hsa-miR-29a-3p"	4320.51149847505	14842.4177621012	4298.72392790872	27883.8641109041	3917.47586023429	14248.1687820941
"hsa-miR-29a-5p"	43.4660417669523	70.3912960470276	14.3791183452212	63.623711964502	24.4459677948001	12.1098526896464
"hsa-miR-29b-1-5p"	8.18075117042346	26.3925387279556	4.25555445561902	8.96109565313293	6.00938569637127	7.79817335466624
"hsa-miR-29b-3p"	270.675843033366	628.621193948302	145.446538337391	1394.28986790854	127.072891203557	901.848289184366
"hsa-miR-29c-3p"	310.998606827835	246.8851474417	711.84705284724	6186.83028555607	809.626449445772	4964.68381000979
"hsa-miR-29c-5p"	17.6870928510417	12.0365959471393	35.1489559549852	110.260409149202	57.291543051776	97.4354058000427
"hsa-miR-301a-3p"	318.468185340863	248.103782547593	113.43476860508	80.2642988755777	90.4448448747031	89.107380871335
"hsa-miR-301b-3p"	178.056110127235	53.2473542183581	30.3559165065781	7.64422398806382	13.6685193909651	9.64072120773047
"hsa-miR-30a-3p"	397.954757218732	241.337208634428	6.05772885808703	0.072460391104943	0.781162335433137	7.1830513225986
"hsa-miR-30a-5p"	21631.7085461607	10605.7587313576	282.368894141956	6.67154736619588	12.9119594942978	1840.23563603174
"hsa-miR-30b-5p"	494.046075337573	497.703506802097	1707.88479416848	3809.34890990668	964.774435890225	3400.71281292473
"hsa-miR-30c-1-3p"	15.1927994945622	16.7037511671293	20.7420135954988	8.74718103962413	22.6856265819931	15.803455709817
"hsa-miR-30c-2-3p"	41.7779547304089	40.8330591238197	1.0026978422411e-05	4.70600563760217e-06	1.85039859855506e-06	4.87944461118175e-05
"hsa-miR-30c-5p"	2602.60192720037	2012.20574789349	3964.62124348813	3325.49917954407	6885.38350972531	3127.72420989856
"hsa-miR-30d-3p"	55.2722952499207	38.92381403392	26.95185233888	56.6215970158753	12.7116887703584	137.139021882856
"hsa-miR-30d-5p"	3342.42418842561	3603.97760948644	7792.71582489218	8219.37225459227	6541.65850681659	18445.628644193
"hsa-miR-30e-3p"	96.1799325157119	108.248575553631	266.883039030782	397.018960499217	577.368246384468	1397.54075093337
"hsa-miR-30e-5p"	3481.18977588847	2950.47387405968	10028.7036852013	11715.545251204	7220.83058349387	19176.5788345077
"hsa-miR-31-3p"	185.819618096816	288.284278653282	0	18.5337194276203	0	0
"hsa-miR-31-5p"	6225.50862292879	17128.1410960884	3.19535963227138	477.626532657469	3.19902173512613	2.22039255210573
"hsa-miR-3117-3p"	6.69993289978473	11.5643769271646	0	0	0	0
"hsa-miR-3152-5p"	15.4396993946603	11.5562422807002	0	0	0	0
"hsa-miR-3158-3p"	13.5831497077668	11.8095396175952	8.51113872440951	4.58652968180786	2.34681455816956	7.23081250997847
"hsa-miR-3168"	4.44373724206921	11.5224716362666	9.92964942298965	3.82210610524386	0.581640315477479	0
"hsa-miR-3176"	27.2173351397483	9.76011601052933	14.3791183452212	3.70675327900793	0.861527638370154	4.2498060448905
"hsa-miR-32-3p"	5.44929509304275	1.14477738446056	6.39071095886687	9.90363371121929	5.47589376127584	8.73656626408611
"hsa-miR-32-5p"	12.4280740437852	8.47443237510312	21.2778095445594	354.858900861686	14.0808736001111	354.514110834897
"hsa-miR-3200-3p"	23.6999512492465	9.80266943863896	4.25555445561902	0.660241868979866	0.290820157738739	0.451925848999142
"hsa-miR-320a"	1368.43113358821	1766.32264160446	1053.96535469001	1196.94862640884	386.856412621968	1074.50030308363
"hsa-miR-320b"	2.80033327074757	4.30724665872074	3.02799712030929	21.7940952897762	5.71583649057312	14.2748246304534
"hsa-miR-323a-3p"	17.2561396535904	89.1040483720044	0	0	0.344612487384827	0
"hsa-miR-323b-3p"	9.99037861786968	39.9657190189064	0	0	4.30765251221842	0
"hsa-miR-324-3p"	43.4981536117521	41.3727275818575	81.4511770976829	29.3337002801317	20.5346101978508	15.7474107073313
"hsa-miR-324-5p"	28.1437101943028	15.8938050467951	46.8111511848593	24.4615544500477	17.601074814006	21.2162077479279
"hsa-miR-326"	126.352168199646	6.99017263946158	710.966687612793	26.2496552075894	84.0472497685406	1.94855194533643
"hsa-miR-328-3p"	20.7134332859762	88.2029668586831	127.814385290855	90.3771648420217	109.639031330971	40.1632385866142
"hsa-miR-329-3p"	14.4993610835849	94.3865525813402	0	0	0.586702952097076	0
"hsa-miR-330-3p"	25.8917916074702	23.5339181812506	22.6963202431396	68.4452367161264	47.3842349158733	17.8611777886134
